,state,left,right,forward,backward,up,down
0,"(0, 0, 0)",-0.6894718777354192,-0.6283405348615305,-0.4111941668307495,-0.7026509875856093,-0.508674377633729,-0.6778750643864411
1,"(0, 0, 1)",-0.47843357076354176,-0.6029589197317958,-0.612747793472398,-0.5813379094263351,-0.29428634158992006,-0.6255709471864757
2,"(0, 0, 2)",-0.4789868352847022,-0.4874815299811873,-0.506489990494471,-0.48603707116543343,-0.10931545296639993,-0.4952197173615032
3,"(0, 0, 3)",-0.50044112269418,0.04071590322476086,-0.46515372873296723,-0.49797979569632933,-0.4681543326229604,-0.47677431678641713
4,"(0, 1, 0)",-0.588768991852987,-0.2611288710660482,-0.6031218269083559,-0.5894617062025569,-0.5598908413525268,-0.6181244265080869
5,"(0, 1, 1)",-0.4819788082041393,-0.4185640781309536,-0.42199223820808085,-0.4116856699813433,-0.3296525900691008,-0.46502412456579
6,"(0, 1, 2)",-0.37871213757186556,-0.16737348551173584,-0.3771575938102443,-0.39228337209241504,-0.31076959329062026,-0.3442606429977688
7,"(0, 1, 3)",-0.28717046657015627,0.18252230809361508,-0.2833066001799003,-0.2962749064373438,-0.3112807593390603,-0.2748802329842187
8,"(0, 2, 0)",-0.44189899975723873,-0.4273130441205412,-0.152099887431919,-0.4348684151912455,-0.4529250867810211,-0.41696620025416603
9,"(0, 2, 1)",-0.3324815543334558,0.04023617735375632,-0.2794934328506315,-0.2879153719453125,-0.3336334265322932,-0.29000652967890705
10,"(0, 2, 2)",-0.2536159727109375,0.034985929534206275,-0.21959861907025297,-0.10453854010280902,-0.21255828046875003,-0.24359237043734375
11,"(0, 2, 3)",-0.20447747503125002,-0.23109176031841233,0.11248676342762745,-0.24132543129687503,-0.1716022059186428,-0.21075655312500002
12,"(0, 3, 0)",-0.38937112909172367,-0.4141752428983097,-0.1517056386968324,-0.3991341638532574,-0.4052934623094841,-0.4106012233770259
13,"(0, 3, 1)",-0.23365230942187498,-0.22288559690625,-0.2535618989273667,-0.24751246878125,0.1278979114095472,-0.23358363052343756
14,"(0, 3, 2)",-0.18300499062500003,-0.19850499375,0.2085369945906449,-0.17400187500000003,-0.18794742187500002,-0.21218014218750003
15,"(0, 3, 3)",-0.12437625000000001,-0.09975,0.6185521330605678,-0.09975,-0.1425854042011715,-0.1025009375
16,"(1, 0, 0)",-0.5666101055277631,-0.5216447297255165,-0.2352386638654468,-0.586687312627752,-0.4978262604611142,-0.6051349268196551
17,"(1, 0, 1)",-0.47213088244987783,-0.477866831841511,-0.5244877390846364,-0.5468236102491834,-0.175632570826934,-0.49146874000311
18,"(1, 0, 2)",-0.41427345483256367,-0.36814233626192955,-0.37590255097183023,-0.4049352421452597,-0.0689498307998263,-0.3671068069111717
19,"(1, 0, 3)",-0.3340049930429715,0.1693853215603884,-0.3474248746222808,-0.36160571588460144,-0.3750568729238297,-0.35983158700109574
20,"(1, 1, 0)",-0.532558055648849,-0.12281076163458383,-0.4901878430936649,-0.5165713115473318,-0.4828200101629218,-0.4851459697596613
21,"(1, 1, 1)",-0.3563500011839923,0.0728879146707537,-0.34076320991932063,-0.35102302334298086,-0.3044370064763937,-0.387430698344328
22,"(1, 1, 2)",-0.30824752653884957,-0.28198482046300866,0.0458745636709285,-0.29009630637856465,-0.31223593897538127,-0.3284527369169539
23,"(1, 1, 3)",-0.2865801736404687,0.5157979281881644,-0.2537562390203954,-0.30848893344756717,-0.24751246878125,-0.2869323597002252
24,"(1, 2, 0)",-0.1271383403219879,0.0011360134621758167,-0.34407207150990504,-0.33316162877850436,-0.35752735408007874,-0.33076896160350666
25,"(1, 2, 1)",-0.26800856218487434,-0.2622762813365496,-0.2691794046565361,-0.2878048485463134,0.22898291035385188,-0.2485563761412087
26,"(1, 2, 2)",-0.15543875000000001,-0.137,0.3621564267744726,-0.2311897114764098,-0.17708453784168965,-0.1368673766227182
27,"(1, 2, 3)",-0.11825619263015627,0.289193500984079,-0.161564375,-0.12462500000000001,-0.15936132297838468,-0.23110421096630585
28,"(1, 3, 0)",-0.29007350089603096,-0.3140799387977219,-0.3143455246220533,-0.2976928681435642,0.1884420478922026,-0.2962749064373438
29,"(1, 3, 1)",-0.25389945524897684,-0.21063403753124998,-0.230940241954066,-0.21359394194443213,0.2374780842162585,-0.18647102348677155
30,"(1, 3, 2)",-0.09975,-0.13675125,0.5020308873307329,-0.09975,-0.12437625000000001,-0.09975
31,"(1, 3, 3)",-0.12450000000000001,0.2243613737790064,0.39995567307401425,-0.09975,-0.09975,-0.09975
32,"(2, 0, 0)",-0.5069296319974897,-0.5100313967930261,-0.21277167867590546,-0.4975972651669398,-0.29602601200531586,-0.5229951361325101
33,"(2, 0, 1)",-0.39563637375196414,-0.45863593056054897,-0.2849942192257421,-0.4252399484212812,-0.4208400032564278,-0.3979160020793943
34,"(2, 0, 2)",-0.3350987554334932,0.16234856195463138,-0.3650394049480374,-0.33010528835774666,-0.33739492203196697,-0.3761903003609791
35,"(2, 0, 3)",-0.28241471112875,0.18881197362202187,-0.2826054906875,-0.3256708558119502,-0.30509917428705985,-0.2710940687211164
36,"(2, 1, 0)",-0.3876580526002926,0.07823145051573588,-0.374493735753624,-0.3912406712415346,-0.36808094117672574,-0.336417356321595
37,"(2, 1, 1)",-0.3018227872373032,-0.014876177693146878,-0.3378045863762314,-0.3019256432915737,-0.3128532235319329,-0.3697941048832529
38,"(2, 1, 2)",-0.15550125,-0.1909254623303157,0.09875010957710573,-0.16756686875,-0.19189860362370154,-0.18919311562500002
39,"(2, 1, 3)",-0.20906543410253586,0.5653090390821638,-0.17403281250000002,-0.17793915749793177,-0.17400187500000003,-0.23088053073308476
40,"(2, 2, 0)",-0.16040907467172588,-0.26364365171909443,0.2159917404469202,-0.32048604885186116,-0.3170409496641399,-0.1605074511149178
41,"(2, 2, 1)",-0.16756686875000001,-0.16144124375000002,-0.12450125000000001,-0.20858115810081757,-0.13415099462393731,0.15849299311516865
42,"(2, 2, 2)",-0.12450125000000001,-0.09166899425038039,-0.08750000000000001,-0.03244298374569751,0.43912249413032556,0.11077034763745705
43,"(2, 2, 3)",-0.112125,0.7507243674051949,-0.07475000000000001,0.24208998948744653,-0.09975,-0.13056375000000003
44,"(2, 3, 0)",-0.22697976307750892,-0.22288559690625004,-0.2444193344375,-0.25860756428882814,0.41232471192605813,-0.24751246878125
45,"(2, 3, 1)",-0.10558083689640252,-0.09975,-0.1113873016331803,-0.112125,0.106442829620923,0.020006534804877837
46,"(2, 3, 2)",-0.08131250000000001,-0.09975,0.28669185937499997,-0.09975,0.7019050687723727,0.17253742817122447
47,"(2, 3, 3)",0.2832603195934608,-0.0015534531250000067,0.944311789982271,0.2611125263885461,0.36847463229271965,0.2641686753819648
48,"(3, 0, 0)",-0.47706986051805644,-0.4890488814134392,-0.47996755316798456,-0.4568888405954833,-0.1918017997877799,-0.4828056505760049
49,"(3, 0, 1)",-0.35432404592891986,0.054953958282274284,-0.35665027254305276,-0.33680060201636064,-0.3467200397907473,-0.4014305049420953
50,"(3, 0, 2)",-0.17375436875,0.36083629949451257,-0.27455026907182645,-0.2616723349830251,-0.1982574875,-0.2651318338098442
51,"(3, 0, 3)",-0.3022487637257039,-0.28298696240731347,-0.2962749064373438,-0.20745542063341949,-0.2962749064373438,-0.28426807505468754
52,"(3, 1, 0)",-0.35957372307187696,0.10501256219235383,-0.34447756047826994,-0.34775415866079284,-0.36241425848376846,-0.326004476729817
53,"(3, 1, 1)",-0.3112537392807071,-0.2635957387282395,-0.30933796115547796,-0.24737641497696095,0.29138617882696277,-0.2790308308614327
54,"(3, 1, 2)",0.06846249569309401,0.4627393587859302,-0.029755803602443467,0.035909976647646225,-0.16144124375,-0.14167490387897072
55,"(3, 1, 3)",-0.22901557287024782,0.7358005274166586,-0.16581092314411403,-0.18827565170261518,-0.20732364143749998,-0.14643676016873927
56,"(3, 2, 0)",-0.24724021843540403,0.4365112989316495,-0.21805138714146166,-0.028954653214697812,-0.09288451807478237,-0.19850499375
57,"(3, 2, 1)",-0.16377235235682042,-0.13793378731920888,-0.19819653753125,-0.12450000000000001,0.4037115615941563,-0.15215812500000003
58,"(3, 2, 2)",0.20729410597851564,-0.05,0.0,0.1877437115596876,0.6214476417011233,-0.05
59,"(3, 2, 3)",0.2911542979753564,0.9330139264142588,0.297339707764703,0.0,-0.05,0.25327713853032136
60,"(3, 3, 0)",-0.20161668001941263,-0.16769,-0.0123054629607178,-0.17043283693963837,0.42439229154511937,-0.19850499375
61,"(3, 3, 1)",-0.12262211614101563,-0.08657882273050099,-0.09975,-0.07500000000000001,0.7783753780603944,-0.09975
62,"(3, 3, 2)",-0.006499280222761625,-0.05,0.0,0.20142889978682088,0.9306199708340249,-0.05
63,"(3, 3, 3)",0.0,0.0,0.0,0.0,0.0,0.0
